,Detaillierter Migrationshintergrund,Bevölkerung in Privathaushalten insgesamt,Personen ohne Migrationshintergrund,Personen mit Migrationshintergrund im weiteren Sinn,Prozentual (ohne Migrationshintergrund),Prozentual (mit Migrationshintergrund)
Insgesamt,Insgesamt,40482.0,29627.0,10855.0,73.18561335902376,26.814386640976235
Noch in Ausbildung,Noch in Ausbildung,8975.0,5534.0,3441.0,18.678907753063083,31.69967756794104
Ohne berufs. Abschluss,Ohne berufs. Abschluss,4657.0,2052.0,2605.0,6.926114692678976,23.998157531091664
Mit berufs. Abschluss,Mit berufs. Abschluss,26752.0,21986.0,4765.0,74.20933607857697,43.89682174113312
nicht ak. Abschluss,nicht ak. Abschluss,19597.0,16309.0,3288.0,40.85057758482168,13.296430205881684
ak. Abschluss,ak. Abschluss,7109.0,5646.0,1463.0,14.142029618241656,5.916264413383487
Promotion,Promotion,559.0,459.0,100.0,0.21909716119664227,0.054502666175803655
Bachelor,Bachelor,943.0,613.0,330.0,0.2926068841253632,0.1798587983801521
Master,Master,667.0,419.0,248.0,0.20000372666970176,0.1351666121159931
Diplom/Magister/Staatsexamen,Diplom/Magister/Staatsexamen,4940.0,4155.0,785.0,1.9833305114859445,0.42784592948005873
